Date,Added,Added,Removed,Removed,Reason
"June 25, 2020",EAT,Brinker International,AXE,Anixter,EAT replaced AXE as Anixter International was acquired by WESCO International.[178]
"June 22, 2020",DNOW,NOW Inc.,TLRD,Tailored Brands,DNOW replaced TLRD which was no longer representative of the small-cap market space.[179]
"June 22, 2020",CAKE,Cheesecake Factory,CBL,CBL & Associates Properties,CAKE replaced CBL which was no longer representative of the small-cap market space.[180]
"June 22, 2020",REZI,Resideo Technologies,HPR,HighPoint Resources,REZI replaced HPR which was no longer representative of the small-cap market space.[181]
"June 22, 2020",BSIG,BrightSphere Investment Group,TTI,TETRA Technologies,BSIG replaced TTI which was no longer representative of the small-cap market space.[182]
"June 22, 2020",BBBY,Bed Bath & Beyond,STRA,"Strategic Education, Inc.",BBBY replaced STRA which was no longer representative of the small-cap market space.[183]
"June 22, 2020",MTDR,Matador Resources,QLYS,Qualys,MTDR replaced QLYS which was no longer representative of the small-cap market space.[184]
"June 22, 2020",MDRX,Allscripts Healthcare Solutions,GBCI,Glacier Bancorp,MDRX replaced GBCI which was no longer representative of the small-cap market space.[185]
"June 1, 2020",DHC,Diversified Healthcare Trust,FG,FGL Holdings,DHC replaced FG as FGL Holdings was acquired by Fidelity National Financial.[186]
"June 1, 2020",SLP,Simulations Plus,TIVO,TiVo Inc.,SLP replaced TIVO as TiVo Inc. was acquired by Xperi.[187]
"June 1, 2020",PLMR,Palomar Holdings,LXU,LSB Industries,PLMR replaced LXU which was no longer representative of the small-cap market space.[188]
"June 1, 2020",CHRS,Coherus Biosciences,OPB,Opus Bank,CHRS replaced OPB as Opus Bank was acquired by Pacific Premier Bancorp.[189]
"June 1, 2020",PTEN,Patterson-UTI Energy,NE,Noble Corporation,PTEN replaced NE which was no longer representative of the small-cap market space.[190]
"May 22, 2020",HP,Helmerich & Payne,JCP,JCPenney,HP replaced JCP which filed for Chapter 11 bankruptcy.[191]
"May 12, 2020",CPRI,Capri Holdings,ACOR,Acorda Therapeutics,CPRI replaced ACOR which was no longer representative of the small-cap market space.[192]
"May 1, 2020",CLB,Core Laboratories,AKRX,Akorn,CLB replaced AKRX which filed for Chapter 11 bankruptcy.[193]
"May 1, 2020",MDP,Meredith Corporation,DO,Diamond Offshore Drilling,MDP replaced DO which filed for Chapter 11 bankruptcy.[194]
"April 17, 2020",YETI,YETI Holdings,LHCG,LHC Group,YETI replaced LHCG which was no longer representative of the small-cap market space.[195]
"February 13, 2020",ALEX,Alexander & Baldwin,DPLO,Diplomat Pharmacy,ALEX replaced DPLO as Diplomat Pharmacy was acquired by UnitedHealth Group.[196]
"February 13, 2020",CRMT,America's Car-Mart,CRCM,Care.com,CRMT replaced CRCM as Care.com was acquired by IAC.[197]
"February 6, 2020",GDOT,Green Dot Corporation,WLH,William Lyon Homes,GDOT replaced WLH as William Lyon Homes was acquired by Taylor Morrison.[198]
"February 4, 2020",RUN,Sunrun,DAR,Darling Ingredients,RUN replaced DAR which was no longer representative of the small-cap market space.[199]
"January 27, 2020",SKT,Tanger Factory Outlet Centers,MDR,McDermott International,SKT replaced MDR which filed for Chapter 11 bankruptcy.[200]
"January 2, 2020",FBM,Foundation Building Materials,RH,RH,FBM replaced RH which was no longer representative of the small-cap market space.[201]
"December 23, 2019",UNIT,Uniti Group,CRZO,Carrizo Oil & Gas,UNIT replaced CRZO as Carrizo Oil & Gas was acquired by Callon Petroleum Company.[202]
"December 23, 2019",OAS,Oasis Petroleum,UNIT,Unit Corp,OAS replaced UNIT which was no longer representative of the small-cap market space.[203]
"December 23, 2019",SWN,Southwestern Energy,FTR,Frontier Communications,SWN replaced FTR which was no longer representative of the small-cap market space.[204]
"December 17, 2019",PLT,Plantronics,VSI,Vitamin Shoppe,PLT replaced VSI as Vitamin Shoppe was acquired by Franchise Group.[205]
